"accident_index","accident_year","accident_reference","location_easting_osgr","location_northing_osgr","longitude","latitude","police_force","accident_severity","number_of_vehicles","number_of_casualties","date","day_of_week","time","local_authority_district","local_authority_ons_district","local_authority_highway","first_road_class","first_road_number","road_type","speed_limit","junction_detail","junction_control","second_road_class","second_road_number","pedestrian_crossing_human_control","pedestrian_crossing_physical_facilities","light_conditions","weather_conditions","road_surface_conditions","special_conditions_at_site","carriageway_hazards","urban_or_rural_area","did_police_officer_attend_scene_of_accident","trunk_road_flag","lsoa_of_accident_location","datetime"
"2017051700629",2017,"051700629",339930,390921,"-2.905161","53.411679","Merseyside","Slight",2,1,2017-03-08,"Wednesday",21:00:00,"Liverpool","E08000012","E08000012","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lighting unknown","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01006565",2017-03-08 21:00:00
"2017051700641",2017,"051700641",334868,390124,"-2.981137","53.403916","Merseyside","Slight",1,1,2017-03-11,"Saturday",04:25:00,"Liverpool","E08000012","E08000012","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","One way street",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033756",2017-03-11 04:25:00
"2017051700642",2017,"051700642",336652,390472,"-2.954378","53.407261","Merseyside","Slight",1,1,2017-03-11,"Saturday",21:49:00,"Liverpool","E08000012","E08000012","A",NA,"Dual carriageway",30,"Crossroads","Auto traffic signal","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","Pedestrian phase at traffic signal junction","Darkness - lights lit","Fine no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01033763",2017-03-11 21:49:00
"2017051700644",2017,"051700644",335547,391574,"-2.971223","53.417031","Merseyside","Slight",2,2,2017-02-27,"Monday",16:55:00,"Liverpool","E08000012","E08000012","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"T or staggered junction","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01006646",2017-02-27 16:55:00
"2017051700650",2017,"051700650",335141,390623,"-2.977135","53.408434","Merseyside","Slight",1,1,2017-03-12,"Sunday",19:55:00,"Liverpool","E08000012","E08000012","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"T or staggered junction","Authorised person","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01033760",2017-03-12 19:55:00
"2017051700653",2017,"051700653",336142,392704,"-2.962501","53.427258","Merseyside","Slight",1,1,2017-03-12,"Sunday",16:30:00,"Liverpool","E08000012","E08000012","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01033747",2017-03-12 16:30:00
"2017051700656",2017,"051700656",334156,389595,"-2.991735","53.399073","Merseyside","Slight",1,1,2017-03-12,"Sunday",12:15:00,"Liverpool","E08000012","E08000012","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",20,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","Zebra","Daylight","Fine no high winds","Dry","None","None","Urban","No","Non-trunk","E01033750",2017-03-12 12:15:00
"2017051700659",2017,"051700659",341559,393214,"-2.881083","53.432471","Merseyside","Serious",1,1,2017-03-08,"Wednesday",04:55:00,"Liverpool","E08000012","E08000012","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Darkness - lights lit","Fine no high winds","Wet or damp","None","None","Urban","Yes","Non-trunk","E01006639",2017-03-08 04:55:00
"2017051700661",2017,"051700661",341417,393395,"-2.883254","53.434082","Merseyside","Serious",2,1,2017-03-13,"Monday",16:45:00,"Liverpool","E08000012","E08000012","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"Not at junction or within 20 metres","Data missing or out of range",NA,"Unknown","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01006644",2017-03-13 16:45:00
"2017051700662",2017,"051700662",337640,389437,"-2.939313","53.398076","Merseyside","Slight",2,1,2017-03-13,"Monday",08:25:00,"Liverpool","E08000012","E08000012","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","Single carriageway",30,"More than 4 arms (not roundabout)","Give way or uncontrolled","Unclassified","first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero","None within 50 metres","No physical crossing facilities within 50 metres","Daylight","Fine no high winds","Dry","None","None","Urban","Yes","Non-trunk","E01006720",2017-03-13 08:25:00
